,Iteration,Fitness,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters
47,2,5.0,0.08370859999999958,"[0, 0, 1, 0]",geometric,100,0.99,0.001,99.91590542494126,100,8192
48,4,1.0,0.1686331000000001,"[1, 0, 0, 0]",geometric,100,0.99,0.001,99.83066161041711,100,8192
49,8,5.0,0.25064010000000003,"[0, 0, 1, 0]",geometric,100,0.99,0.001,99.74841528780581,100,8192
50,16,5.0,0.33402249999999967,"[0, 0, 1, 0]",geometric,100,0.99,0.001,99.66485902452891,100,8192
51,32,0.0,0.4178476,"[1, 1, 1, 1]",geometric,100,0.99,0.001,99.58092968904276,100,8192
52,64,5.0,0.5018722000000002,"[1, 1, 0, 0]",geometric,100,0.99,0.001,99.49687153615523,100,8192
53,128,4.0,0.5920323999999999,"[0, 1, 0, 0]",geometric,100,0.99,0.001,99.40675424768499,100,8192
54,256,11.0,0.6864186999999999,"[0, 1, 0, 1]",geometric,100,0.99,0.001,99.3125003197895,100,8192
55,512,11.0,0.7957986000000004,"[0, 1, 0, 1]",geometric,100,0.99,0.001,99.20338560452785,100,8192
56,1024,11.0,0.9537934999999997,"[0, 1, 0, 1]",geometric,100,0.99,0.001,99.04598537028389,100,8192
57,2048,11.0,1.2573551999999992,"[0, 1, 0, 1]",geometric,100,0.99,0.001,98.7442667572089,100,8192
58,4096,11.0,1.8039831,"[0, 1, 0, 1]",geometric,100,0.99,0.001,98.20327351214581,100,8192
59,8192,11.0,2.5210267999999996,"[0, 1, 0, 1]",geometric,100,0.99,0.001,97.49811260825783,100,8192
60,0,0.0,9.689999999906718e-05,"[0, 0, 0, 0]",geometric,250,0.99,0.001,249.9997565307325,250,8192
61,1,5.0,0.0009031999999997709,"[0, 0, 1, 0]",geometric,250,0.99,0.001,249.9977306444643,250,8192
62,2,0.0,0.10794539999999841,"[0, 0, 0, 0]",geometric,250,0.99,0.001,249.72892518846788,250,8192
63,4,6.0,0.21871550000000006,"[1, 0, 1, 0]",geometric,250,0.99,0.001,249.45106249059305,250,8192
64,8,0.0,0.3267554999999991,"[1, 1, 1, 1]",geometric,250,0.99,0.001,249.18034598032867,250,8192
65,16,8.0,0.4347096999999991,"[1, 0, 0, 1]",geometric,250,0.99,0.001,248.91013790468295,250,8192
66,32,11.0,0.5420719999999992,"[0, 1, 0, 1]",geometric,250,0.99,0.001,248.64170195313548,250,8192
67,64,0.0,0.6536568999999997,"[0, 0, 1, 1]",geometric,250,0.99,0.001,248.36301510562092,250,8192
68,128,0.0,0.7696996999999985,"[0, 1, 1, 1]",geometric,250,0.99,0.001,248.07352583620715,250,8192
69,256,11.0,0.8868380999999985,"[0, 1, 0, 1]",geometric,250,0.99,0.001,247.78164561700098,250,8192
70,512,11.0,1.0261351999999988,"[0, 1, 0, 1]",geometric,250,0.99,0.001,247.4349983217335,250,8192
71,1024,11.0,1.2137263999999988,"[0, 1, 0, 1]",geometric,250,0.99,0.001,246.9689351038233,250,8192
72,2048,11.0,1.4641804999999994,"[0, 1, 0, 1]",geometric,250,0.99,0.001,246.3480595326196,250,8192
73,4096,11.0,2.299195299999999,"[0, 1, 0, 1]",geometric,250,0.99,0.001,244.2893132424873,250,8192
74,8192,11.0,2.8722994999999987,"[0, 1, 0, 1]",geometric,250,0.99,0.001,242.88627828823974,250,8192
75,0,0.0,9.859999999939362e-05,"[0, 0, 0, 0]",geometric,500,0.99,0.001,499.9995045186879,500,8192
76,1,5.0,0.0015672999999996051,"[0, 0, 1, 0]",geometric,500,0.99,0.001,499.9921241163386,500,8192
77,2,0.0,0.14556609999999992,"[0, 0, 0, 0]",geometric,500,0.99,0.001,499.26904072582676,500,8192
